Price,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Turbo,ID
13328,LEXUS,RX 450,2010,Jeep,True,Hybrid,3.5,186005,6.0,Automatic,4x4,5,Left,False,0
16621,CHEVROLET,Equinox,2011,Jeep,False,Petrol,3.0,192000,6.0,Tiptronic,4x4,5,Left,False,1
8467,HONDA,FIT,2006,Hatchback,False,Petrol,1.3,200000,4.0,Variator,Front,5,Right,False,2
3607,FORD,Escape,2011,Jeep,True,Hybrid,2.5,168966,4.0,Automatic,4x4,5,Left,False,3
11726,HONDA,FIT,2014,Hatchback,True,Petrol,1.3,91901,4.0,Automatic,Front,5,Left,False,4
39493,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,160931,4.0,Automatic,Front,5,Left,False,5
1803,TOYOTA,Prius,2010,Hatchback,True,Hybrid,1.8,258909,4.0,Automatic,Front,5,Left,False,6
549,HYUNDAI,Sonata,2013,Sedan,True,Petrol,2.4,216118,4.0,Automatic,Front,5,Left,False,7
1098,TOYOTA,Camry,2014,Sedan,True,Hybrid,2.5,398069,4.0,Automatic,Front,5,Left,False,8
26657,LEXUS,RX 350,2007,Jeep,True,Petrol,3.5,128500,6.0,Automatic,4x4,5,Left,False,9
941,MERCEDES-BENZ,E 350,2014,Sedan,True,Diesel,3.5,184467,6.0,Automatic,Rear,5,Left,False,10
3000,OPEL,Vectra,1997,Goods wagon,False,CNG,1.6,350000,4.0,Manual,Front,5,Left,False,12
1019,LEXUS,RX 450,2013,Jeep,True,Hybrid,3.5,138038,6.0,Automatic,Front,5,Left,False,13
59464,HYUNDAI,Santa FE,2016,Jeep,True,Diesel,2.0,76000,4.0,Automatic,Front,5,Left,False,14
549,TOYOTA,CHR,2018,Jeep,True,Petrol,2.0,74146,4.0,Automatic,Front,5,Left,False,15
7683,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,121840,4.0,Automatic,Front,5,Left,False,16
28382,HYUNDAI,Elantra,2016,Sedan,True,Petrol,1.8,54317,4.0,Automatic,Front,5,Left,False,17
549,HYUNDAI,Sonata,2006,Sedan,True,Petrol,3.3,295059,6.0,Automatic,Rear,5,Left,False,18
941,LEXUS,RX 400,2008,Jeep,True,Hybrid,3.5,364523,6.0,Automatic,4x4,5,Left,False,19
18826,HYUNDAI,Elantra,2012,Sedan,True,Petrol,1.6,112645,4.0,Automatic,Front,5,Left,False,20
20698,TOYOTA,Prius,2012,Sedan,True,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,5,Left,False,21
17562,TOYOTA,Camry,2017,Sedan,True,Petrol,2.5,39709,4.0,Automatic,Front,5,Left,False,22
7840,FORD,Transit,2001,Microbus,False,Diesel,2.0,230000,4.0,Manual,Front,3,Left,True,23
